DATE,TIME,GAME,BET,ROLL,STAKE,MULT,PROFIT,JPOT
16/05/2020,0:27:54,DICE,HI,7994,0.00000001,2,0.00000001,X
16/05/2020,0:26:55,FREE, ,6279,0,0,0.00000016, 
15/05/2020,19:21:34,DICE                                        ,LO                                        ,4266,0.0000003,2,0.0000003,X
15/05/2020,19:21:31,DICE                                        ,LO                                        ,2655,0.0000003,2,0.0000003,X
15/05/2020,19:21:26,DICE                                        ,HI                                        ,8616,0.0000003,2,0.0000003,X
15/05/2020,19:21:20,DICE                                        ,HI                                        ,5978,0.00000015,2,0.00000015,X
15/05/2020,19:21:07,FREE                                        ,                                         ,6803,0,0,0.00000015, 
15/05/2020,14:10:17,DICE                                        ,HI                                        ,673,0.00000015,2,-0.00000015,X
15/05/2020,14:10:02,FREE                                        ,                                         ,6947,0,0,0.00000015, 
15/05/2020,22:01:38,DICE                                        ,HI                                        ,459,0.00000048,2,-0.00000048,X
15/05/2020,22:01:31,DICE                                        ,LO                                        ,102,0.00000016,2,0.00000016,X
15/05/2020,22:01:29,DICE                                        ,LO                                        ,5220,0.00000016,2,-0.00000016,X
15/05/2020,22:01:27,DICE                                        ,LO                                        ,2022,0.00000016,2,0.00000016,X
15/05/2020,22:01:26,DICE                                        ,LO                                        ,7079,0.00000016,2,-0.00000016,X
15/05/2020,22:01:25,DICE                                        ,LO                                        ,9072,0.00000016,2,-0.00000016,X
15/05/2020,22:01:21,DICE                                        ,HI                                        ,9668,0.00000016,2,0.00000016,X
15/05/2020,22:01:19,DICE                                        ,HI                                        ,9085,0.00000016,2,0.00000016,X
15/05/2020,22:01:17,DICE                                        ,HI                                        ,6917,0.00000016,2,0.00000016,X
15/05/2020,22:01:14,DICE                                        ,HI                                        ,4600,0.00000016,2,-0.00000016,X
15/05/2020,22:01:12,DICE                                        ,HI                                        ,776,0.00000016,2,-0.00000016,X
15/05/2020,22:01:10,DICE                                        ,HI                                        ,6671,0.00000016,2,0.00000016,X
13/05/2020,22:01:10,DICE,HI,6671,0.00000016,2,0.00000016,X
13/05/2020,22:01:08,DICE,HI,6946,0.00000016,2,0.00000016,X
13/05/2020,22:01:06,DICE,HI,4568,0.00000016,2,-0.00000016,X
13/05/2020,22:00:59,DICE,HI,5736,0.00000016,2,0.00000016,X
13/05/2020,22:00:48,FREE, ,9581,0,0,0.00000016, 
13/05/2020,19:49:09,DICE,HI,2784,0.00000016,2,-0.00000016,X
13/05/2020,19:48:42,FREE, ,1291,0,0,0.00000016, 
13/05/2020,18:20:03,DICE,HI,685,0.00000016,2,-0.00000016,X
13/05/2020,18:19:50,FREE, ,6609,0,0,0.00000016, 
13/05/2020,17:17:18,DICE,HI,822,0.0000008,2,-0.0000008,X
13/05/2020,17:17:05,FREE, ,9638,0,0,0.00000016, 
13/05/2020,15:41:32,DICE,LO,3197,0.00000016,2,0.00000016,X
13/05/2020,15:40:49,DICE,HI,5842,0.00000016,2,0.00000016,X
13/05/2020,15:40:31,DICE,HI,6837,0.00000016,2,0.00000016,X
13/05/2020,15:40:07,FREE, ,512,0,0,0.00000016, 
13/05/2020,12:52:20,DICE,LO,7254,0.00000016,2,-0.00000016,X
13/05/2020,12:52:19,DICE,LO,7906,0.00000016,2,-0.00000016,X
13/05/2020,12:52:17,DICE,LO,6854,0.00000016,2,-0.00000016,X
13/05/2020,12:52:14,DICE,HI,5813,0.00000016,2,0.00000016,X
13/05/2020,12:52:10,DICE,HI,7927,0.00000016,2,0.00000016,X
13/05/2020,12:51:59,FREE, ,3473,0,0,0.00000016, 
13/05/2020,11:33:47,DICE,HI,3663,0.00000016,2,-0.00000016,X
13/05/2020,11:33:36,FREE, ,2323,0,0,0.00000016, 
13/05/2020,1:13:37,DICE,HI,1923,0.00000017,2,-0.00000017,X
13/05/2020,1:13:35,DICE,HI,4841,0.00000017,2,-0.00000017,X
13/05/2020,1:13:33,DICE,HI,4441,0.00000017,2,-0.00000017,X
13/05/2020,1:13:32,DICE,HI,6814,0.00000017,2,0.00000017,X
13/05/2020,1:13:30,DICE,HI,2590,0.00000017,2,-0.00000017,X
13/05/2020,1:13:28,DICE,HI,5475,0.00000017,2,0.00000017,X
13/05/2020,1:13:27,DICE,HI,9119,0.00000017,2,0.00000017,X
13/05/2020,1:13:25,DICE,HI,3007,0.00000017,2,-0.00000017,X
13/05/2020,1:13:23,DICE,HI,9458,0.00000017,2,0.00000017,X
13/05/2020,1:13:22,DICE,HI,3306,0.00000017,2,-0.00000017,X
13/05/2020,1:13:18,DICE,HI,7865,0.00000017,2,0.00000017,X
13/05/2020,1:13:08,FREE, ,3990,0,0,0.00000017, 
13/05/2020,0:12:18,DICE,HI,1434,0.00000017,2,-0.00000017,X
13/05/2020,0:12:07,FREE, ,682,0,0,0.00000017, 
12/5/2020,22:28:42,DICE,HI,1861,0.00000017,2,-0.00000017,X
12/5/2020,22:28:22,FREE, ,9734,0,0,0.00000017, 
12/5/2020,21:03:42,DICE,HI,2655,0.00000085,2,-0.00000085,X
12/5/2020,21:03:29,FREE, ,1387,0,0,0.00000017, 
12/5/2020,19:49:30,DICE,LO,3624,0.00000017,2,0.00000017,X
12/5/2020,19:49:24,DICE,HI,7556,0.00000017,2,0.00000017,X
12/5/2020,19:49:16,DICE,HI,5637,0.00000017,2,0.00000017,X
12/5/2020,19:49:03,FREE, ,2406,0,0,0.00000017, 
12/5/2020,18:44:10,DICE,HI,368,0.00000017,2,-0.00000017,X
12/5/2020,18:43:46,FREE, ,7236,0,0,0.00000017, 
12/5/2020,17:42:26,DICE,LO,7157,0.00000017,2,-0.00000017,X
12/5/2020,17:42:15,FREE, ,4143,0,0,0.00000017, 
12/5/2020,16:01:32,DICE,HI,3364,0.00000064,2,-0.00000064,X
12/5/2020,16:01:22,DICE,HI,6505,0.00000022,2,0.00000022,X
12/5/2020,16:01:13,DICE,HI,2252,0.00000043,2,-0.00000043,X
12/5/2020,16:01:02,DICE,HI,3740,0.00000043,2,-0.00000043,X
12/5/2020,16:00:55,DICE,HI,7540,0.00000043,2,0.00000043,X
12/5/2020,16:00:32,FREE, ,1104,0,0,0.00000017, 
12/5/2020,14:23:32,DICE,LO,3740,0.00000017,2,0.00000017,X
12/5/2020,14:23:14,DICE,HI,9262,0.00000017,2,0.00000017,X
12/5/2020,14:23:10,DICE,HI,5380,0.00000017,2,0.00000017,X
12/5/2020,14:22:53,FREE, ,1692,0,0,0.00000017, 
12/5/2020,13:08:39,DICE,HI,617,0.00000053,2,-0.00000053,X
12/5/2020,13:08:24,FREE, ,7158,0,0,0.00000017, 
11/5/2020,23:17:07,DICE,HI,8821,0.00000018,2,0.00000018,X
11/5/2020,23:16:57,FREE, ,4363,0,0,0.00000018, 
11/5/2020,22:11:41,DICE,HI,2514,0.00002177,2,-0.00002177,X
11/5/2020,22:04:11,DICE,HI,9686,0.00000016,2,0.00000016,X
11/5/2020,22:04:08,DICE,HI,7027,0.00000016,2,0.00000016,X
11/5/2020,22:04:06,DICE,HI,9715,0.00000016,2,0.00000016,X
11/5/2020,22:04:02,DICE,HI,4540,0.00000016,2,-0.00000016,X
11/5/2020,22:03:59,DICE,HI,6325,0.00000016,2,0.00000016,X
11/5/2020,22:03:58,DICE,HI,1522,0.00000016,2,-0.00000016,X
11/5/2020,22:03:55,DICE,HI,9959,0.00000016,2,0.00000016,X
11/5/2020,22:03:45,DICE,HI,5081,0.00000016,2,-0.00000016,X
11/5/2020,22:03:34,FREE, ,9308,0,0,0.00000017, 
11/5/2020,20:42:41,DICE,HI,9878,0.00000064,2,0.00000064,X
11/5/2020,20:42:18,FREE, ,9828,0,0,0.00000017, 
11/5/2020,19:42:22,DICE,HI,7671,0.00000016,2,0.00000016,X
11/5/2020,19:42:08,FREE, ,6957,0,0,0.00000018, 
11/5/2020,18:01:10,DICE,HI,7089,0.00000032,2,0.00000032,X
11/5/2020,18:00:53,FREE, ,927,0,0,0.00000018, 
11/5/2020,16:11:42,FREE, ,8316,0,0,0.00000017, 
11/5/2020,12:43:51,DICE,HI,9145,0.00000016,2,0.00000016,X
11/5/2020,12:43:49,DICE,HI,3999,0.00000016,2,-0.00000016,X
11/5/2020,12:43:49,DICE,HI,4883,0.00000016,2,-0.00000016,X
11/5/2020,12:43:47,DICE,HI,6590,0.00000016,2,0.00000016,X
11/5/2020,12:43:46,DICE,HI,3476,0.00000016,2,-0.00000016,X
11/5/2020,12:43:45,DICE,HI,7688,0.00000016,2,0.00000016,X
11/5/2020,12:43:43,DICE,HI,1166,0.00000016,2,-0.00000016,X
11/5/2020,12:41:54,DICE,HI,6436,0.00000016,2,0.00000016,X
11/5/2020,12:41:53,DICE,HI,2299,0.00000016,2,-0.00000016,X
11/5/2020,12:41:51,DICE,HI,9830,0.00000016,2,0.00000016,X
11/5/2020,12:41:49,DICE,HI,4382,0.00000016,2,-0.00000016,X
